Cara Pengadaan,Jenis Pengadaan,Kode RUP,Metode Pengadaan,Nama Instansi,Nama Paket,Nama Satuan Kerja,Produk Dalam Negeri,Sumber Dana,Tahun Anggaran,Total Nilai (Rp)
Penyedia,Jasa Lainnya,64227133,Pengadaan Langsung,KEMENTERIAN ENERGI DAN SUMBER DAYA MINERAL,Mesin absensi,DIREKTORAT JENDERAL ENERGI BARU TERBARUKAN DAN KONSERVASI ENERGI,Ya,APBN,2026,24000000
Penyedia,Jasa Lainnya,66346172,Pengadaan Langsung,KEMENTERIAN ENERGI DAN SUMBER DAYA MINERAL,ATK,PUSAT PENGELOLAAN BARANG MILIK NEGARA,Ya,APBN,2026,107509000
Penyedia,Jasa Lainnya,64490334,Pengadaan Langsung,KEMENTERIAN ENERGI DAN SUMBER DAYA MINERAL,Belanja Pemeliharaan AC,MUSEUM GEOLOGI,Ya,APBN,2026,27300000
Penyedia,Jasa Lainnya,61998855,E-Purchasing,KEMENTERIAN ENERGI DAN SUMBER DAYA MINERAL,"Tenaga Outsorcing (OB, Satpam dan Pengemudi)",PUSAT PENGELOLAAN BARANG MILIK NEGARA,Ya,APBN,2026,982608000
Penyedia,Barang,66487681,Pengadaan Langsung,KEMENTERIAN ENERGI DAN SUMBER DAYA MINERAL,Belanja Barang Persediaan Barang Konsumsi (503.C.521811),SEKRETARIAT JENDERAL KEMENTERIAN ENERGI DAN SUMBER DAYA MINERAL,Ya,APBN,2026,12444000
Penyedia,Barang,66431679,Pengadaan Langsung,KEMENTERIAN ENERGI DAN SUMBER DAYA MINERAL,Belanja Barang Persediaan Barang Konsumsi (515.A.521811),SEKRETARIAT JENDERAL KEMENTERIAN ENERGI DAN SUMBER DAYA MINERAL,Ya,APBN,2026,18521000
Penyedia,Jasa Lainnya,65005865,Pengadaan Langsung,KEMENTERIAN ENERGI DAN SUMBER DAYA MINERAL,Belanja Bahan,DITJEN MINERAL DAN BATUBARA,Ya,APBN,2026,15180000
Penyedia,Jasa Lainnya,64470718,Dikecualikan,KEMENTERIAN ENERGI DAN SUMBER DAYA MINERAL,Belanja Langganan Daya dan Jasa Lainnya Pada  1909.EBA.994.002 ,SEKRETARIAT JENDERAL DEWAN ENERGI NASIONAL,Ya,APBN,2026,6000000
Penyedia,Jasa Lainnya,63627181,Pengadaan Langsung,KEMENTERIAN ENERGI DAN SUMBER DAYA MINERAL,Pemeliharaan Hotplate,PUSAT SUMBER DAYA MINERAL BATUBARA DAN PANAS BUMI,Ya,APBN,2026,20000000
Penyedia,Barang,64043054,Pengadaan Langsung,KEMENTERIAN ENERGI DAN SUMBER DAYA MINERAL,Belanja Barang Persediaan Barang Konsumsi,DIREKTORAT JENDERAL ENERGI BARU TERBARUKAN DAN KONSERVASI ENERGI,Ya,APBN,2026,1357000
Penyedia,Barang,65592969,Pengadaan Langsung,KEMENTERIAN ENERGI DAN SUMBER DAYA MINERAL,Belanja Bahan,BALAI PENDIDIKAN DAN PELATIHAN TAMBANG BAWAH TANAH DI SAWAH LUNTO,Ya,APBN,2026,137212000
Penyedia,Barang,63614790,E-Purchasing,KEMENTERIAN ENERGI DAN SUMBER DAYA MINERAL,Pengadaan Perlengkapan Perkantoran (Layanan Perkantoran 002),BALAI BESAR SURVEI DAN PENGUJIAN KETENAGALISTRIKAN ENERGI BARU TERBARUKAN DAN KONSERVASI ENERGI,Ya,APBN,2026,117040000
Penyedia,Jasa Lainnya,64137068,Dikecualikan,KEMENTERIAN ENERGI DAN SUMBER DAYA MINERAL,Biaya Penginapan Perjalanan Dinas Pejabat  Eselon IV/Golongan III  (D.K.I.  JAKARTA),PUSAT SUMBER DAYA MINERAL BATUBARA DAN PANAS BUMI,Ya,APBN,2026,70080000
Penyedia,Barang,64979173,Pengadaan Langsung,KEMENTERIAN ENERGI DAN SUMBER DAYA MINERAL,Belanja Barang Persediaan Barang Konsumsi,DITJEN MINERAL DAN BATUBARA,Ya,APBN,2026,13115000
Penyedia,Barang,64464823,Pengadaan Langsung,KEMENTERIAN ENERGI DAN SUMBER DAYA MINERAL,Belanja Bahan Konsolidasi Pada  1909.EBD.953.051 ,SEKRETARIAT JENDERAL DEWAN ENERGI NASIONAL,Ya,APBN,2026,2840000
Penyedia,Barang,66341225,Pengadaan Langsung,KEMENTERIAN ENERGI DAN SUMBER DAYA MINERAL,Belanja Sewa,PUSAT PENGEMBANGAN SUMBER DAYA MANUSIA APARATUR,Ya,APBN,2026,5229000
Penyedia,Pekerjaan Konstruksi,62006853,Pengadaan Langsung,KEMENTERIAN ENERGI DAN SUMBER DAYA MINERAL,Belanja Penyediaan Barang dan Jasa DPMU PPJ-2025120023 (Dana BLU),BALAI BESAR PENGUJIAN MINYAK DAN GAS BUMI LEMIGAS,Ya,APBN,2026,195174500
