Cara Pengadaan,Jenis Pengadaan,Kode RUP,Metode Pengadaan,Nama Instansi,Nama Paket,Nama Satuan Kerja,Produk Dalam Negeri,Sumber Dana,Tahun Anggaran,Total Nilai (Rp)
Swakelola,-,43178636,-,KEMENTERIAN KOMUNIKASI DAN DIGITAL,Pelaksanaan Kegiatan Obsmont Dalam Kota,BALAI MONITOR SPEKTRUM FREKUENSI RADIO KELAS I YOGYAKARTA,Tidak,APBN,2026,5367000
Swakelola,-,43368578,-,KEMENTERIAN KOMUNIKASI DAN DIGITAL,Operasional dan Pemeliharaan Kantor Balmon Palu,BALAI MONITOR SPEKTRUM FREKUENSI RADIO KELAS II PALU,Tidak,APBN,2026,1146070000
Penyedia,Jasa Lainnya,62504586,E-Purchasing,KEMENTERIAN KOMUNIKASI DAN DIGITAL,ISP (Backup),BALAI PENGEMBANGAN SDM DAN PENELITIAN KOMUNIKASI DAN INFORMATIKA MANADO,Ya,APBN,2026,126000000
Penyedia,Jasa Konsultansi,66124965,E-Purchasing,KEMENTERIAN KOMUNIKASI DAN DIGITAL,Pemeliharaan Portal Pelaporan Penyelenggaraan Pos dan Informatika,DIREKTORAT JENDERAL EKOSISTEM DIGITAL,Ya,APBN,2026,605000000
Penyedia,Barang,65902693,Dikecualikan,KEMENTERIAN KOMUNIKASI DAN DIGITAL,"002468 - Belanja Perjalanan Dinas Biasa -  Transport, Penginapan - Pengelolaan Krisis Komunikasi Nasional",DIREKTORAT JENDERAL KOMUNIKASI PUBLIK DAN MEDIA,Ya,APBN,2026,135194000
Penyedia,Jasa Lainnya,63184542,Dikecualikan,KEMENTERIAN KOMUNIKASI DAN DIGITAL,001555 - Belanja Perjalanan Dinas Paket Meeting Luar Kota - Paket Meeting Fullboard dan Penginapan - Kerjasama Pemberdayaan Media Lokal,DIREKTORAT JENDERAL KOMUNIKASI PUBLIK DAN MEDIA,Ya,APBN,2026,40240000
Penyedia,Jasa Lainnya,65963965,Pengadaan Langsung,KEMENTERIAN KOMUNIKASI DAN DIGITAL,Medical Check Up Pegawai,BALAI MONITOR SPEKTRUM FREKUENSI RADIO KELAS II PALANGKARAYA,Ya,APBN,2026,40000000
Swakelola,-,43354688,-,KEMENTERIAN KOMUNIKASI DAN DIGITAL,SBML,BALAI MONITOR SPEKTRUM FREKUENSI RADIO KELAS I MEDAN,Tidak,APBN,2026,1182000000
Swakelola,-,41872114,-,KEMENTERIAN KOMUNIKASI DAN DIGITAL,Belanja Bahan ( PELAYANAN PERIJINAN KELILING ),BALAI MONITOR SPEKTRUM FREKUENSI RADIO KELAS I DENPASAR,Tidak,APBN,2026,400000
Swakelola,-,43025488,-,KEMENTERIAN KOMUNIKASI DAN DIGITAL,Belanja Honor Operasional Satuan Kerja,BALAI PENGEMBANGAN SDM DAN PENELITIAN KOMUNIKASI DAN INFORMATIKA BANDUNG,Tidak,APBN,2026,66240000
Swakelola,-,43166689,-,KEMENTERIAN KOMUNIKASI DAN DIGITAL,Layanan Kesekretariatan Ditjen Infrastruktur Digital,DIREKTORAT JENDERAL INFRASTRUKTUR DIGITAL,Tidak,APBN,2026,2670668000
Swakelola,-,42001592,-,KEMENTERIAN KOMUNIKASI DAN DIGITAL,Belanja Honor Operasional Satuan Kerja Balai Monitor Spektrum Frekuensi Radio Kelas II Merauke,BALAI MONITOR SPEKTRUM FREKUENSI RADIO KELAS II MERAUKE,Tidak,APBN,2026,99240000
Penyedia,Barang,62659151,Pengadaan Langsung,KEMENTERIAN KOMUNIKASI DAN DIGITAL,Belanja Barang Persediaan Barang Konsumsi Balmon SFR Kelas I Palembang,BALAI MONITOR SPEKTRUM FREKUENSI RADIO KELAS I PALEMBANG,Ya,APBN,2026,66280000
Swakelola,-,42078359,-,KEMENTERIAN KOMUNIKASI DAN DIGITAL,"Pemantauan, Pengukuran dan Penanganan Ganguan Frekuensi Radio Luar Kota Transportasi Sungai/Laut Wilayah Sulawesi Balmon Palu ",BALAI MONITOR SPEKTRUM FREKUENSI RADIO KELAS II PALU,Tidak,APBN,2026,35630000
Swakelola,-,41889355,-,KEMENTERIAN KOMUNIKASI DAN DIGITAL,001813 - Belanja Jasa Profesi - Honorarium Narasumber Eselon I/yg disetarakan - Produksi Konten,DIREKTORAT JENDERAL KOMUNIKASI PUBLIK DAN MEDIA,Tidak,APBN,2026,25200000
Penyedia,Jasa Lainnya,66475062,Dikecualikan,KEMENTERIAN KOMUNIKASI DAN DIGITAL,"Diseminasi Rebranding Kementerian Kominfo untuk Akselerasi Transformasi Digital - Penyiaran dan Penyebarluasan Informasi - Belanja Perjalanan Dinas Biasa - Bali - Penginapan [3 orang x 2 malam x 15 freq]""",SEKRETARIAT JENDERAL KOMDIGI,Ya,APBN,2026,45000000
Penyedia,Jasa Lainnya,62810744,E-Purchasing,KEMENTERIAN KOMUNIKASI DAN DIGITAL,Jasa Outsourcing Satuan Pengamanan,BALAI MONITOR SPEKTRUM FREKUENSI RADIO KELAS I KUPANG,Ya,APBN,2026,494143024
